"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"46","FGGY",298.911600222717,0.100749201564942,0.178820006728594,0,1,1
"47","CACHD1",867.31805393718,-0.110900093746917,0.248996267483139,0,1,1
"48","USP1",426.820497535404,0.194408247950393,0.164728403593257,0,1,1
"49","ITGB3BP",52.499546896161,-0.223349225553001,0.219588332026735,0,1,1
"50","LEPR",176.682106055287,-0.0742147240551781,0.213717278753199,0,1,1
"51","NFIA",3003.72312461634,0.298840410555921,0.182796112672864,0,1,1
"52","NEGR1",1296.57453121186,-0.538250763139277,0.315101252501244,0,1,1
"53","LRRC7",2503.65418432104,-0.37224060894197,0.190374838790698,0,1,1
"54","ST6GALNAC3",190.153367181769,0.375190094640255,0.243714588377914,0,1,1
"55","PIGK",312.307433670798,-0.166848166259139,0.249198451787978,0,1,1
"56","CLCA4",113.65396352783,1.41268530419304,0.531784465301012,0.776038660624362,0.437726159249094,1
"57","LRRC8C",421.828955534654,0.0377309631669193,0.175416300863501,0,1,1
"58","PKN2-AS1",18.5049628423282,-1.01911578756533,0.292968266373223,-0.0652486626008238,0.947976016494426,1
"59","DDAH1",2406.15984208188,-0.429197599240381,0.231387073584573,0,1,1
"60","LOC729970",77.4749816245999,-0.224185021439748,0.159364375756184,0,1,1
"61","LOC102723661",0.208426688501584,0.513617600451311,2.96799095077506,0,1,1
"62","FAM69A",431.088799044492,-0.0904141988397576,0.228108710645273,0,1,1
"63","GCLM",301.532441031835,-0.231956488397723,0.16942740899852,0,1,1
"64","NTNG1",192.515180952927,-0.351565934808972,0.242908473224109,0,1,1
"65","PHTF1",354.193758133443,0.0469325935470663,0.184901573517262,0,1,1
"66","GNAI3",456.309725548776,0.00269759344395282,0.125283650808871,0,1,1
"67","KCNA2",977.885666094646,-0.32640340601088,0.324132381431072,0,1,1
"68","RAP1A",650.198735680575,0.426047865158068,0.229453958896552,0,1,1
"69","RHOC",840.596352110595,-0.0784011448048398,0.18628453736643,0,1,1
"70","NOTCH2",3515.8348253435,0.271621320553567,0.199664069271185,0,1,1
"71","WDR3",248.286749207618,-0.305721161968738,0.130840573953629,0,1,1
"72","LOC101927429",0.22787683636353,-1.31953001112035,1.5954083518983,-0.200281019426879,0.841260806113357,1
"73","OTUD7B",2155.64828079472,0.461676838385702,0.304439152704444,0,1,1
"74","NBPF9",2.71317826073012,1.29409867359147,0.608257413755164,0.483510216136639,0.628733507687101,1
"75","PDZK1",11.2859396857114,0.0100904310353389,0.271014923752302,0,1,1
"76","NBPF20",0.191886709597583,-0.255812899977777,1.84376303768375,0,1,1
"77","NBPF8",24.595211294996,0.415390556909164,0.338594843432734,0,1,1
"78","NBPF25P",56.674469952883,0.311965277172155,0.300952843502757,0,1,1
"79","NBPF10",83.2821707718485,0.490485735432711,0.228422062496364,0,1,1
"80","TPM3",1683.50961000036,-0.345945772503092,0.125878086225024,0,1,1
"81","SMG5",2236.71742908963,0.430554787193342,0.102726256731959,0,1,1
"82","GBAP1",109.466476420857,-0.215066585468943,0.213298834415106,0,1,1
"83","LOC440700",2.8219774022841,0.286638429460447,0.578888590000526,0,1,1
"84","FCGR2A",173.622937281333,0.127484472746533,0.365045889587034,0,1,1
"85","PBX1",1680.26641926796,-0.23981358911088,0.163053486327222,0,1,1
"86","DNM3",3518.3100644016,-0.0338342182095215,0.188657105171686,0,1,1
"87","TNFSF18",3.49321686492216,-0.341688675470686,0.447789894329546,0,1,1
"88","MROH9",8.05187762149082,0.924286534394799,0.55062146284954,0,1,1
"89","TNN",11.3615428085889,-1.00421253151807,0.36912513319765,-0.0114122045323242,0.990894575845361,1
"90","BRINP2",1150.69251024764,-0.472473504858454,0.238142002446554,0,1,1
"91","ACBD6",316.75974791571,0.0117484665464451,0.0832937467167866,0,1,1
"92","SMG7",1477.76174903064,-0.0224478898973315,0.115582044932279,0,1,1
"93","SOAT1",322.382023164868,0.149086395732313,0.160872090534402,0,1,1
"94","RASAL2",1699.21417714543,-0.483075078683937,0.20402685907444,0,1,1
"95","RGSL1",2.22172299248375,-1.42763699375172,0.667951845996335,-0.640221291871495,0.522028742300604,1
"96","PTGS2",91.9058091903439,-0.735206092624139,0.27723801370116,0,1,1
"97","ZBTB41",868.974149507547,0.080748298798447,0.154170719798269,0,1,1
"98","NEK7",997.362680385879,0.376132489330346,0.336563723826962,0,1,1
"99","PPP1R12B",2970.46278611529,0.0906675065380581,0.123199615800648,0,1,1
"100","SRGAP2D",29.325390262703,0.500085301149077,0.178303790698227,0,1,1
"101","SRGAP2",1225.06192404479,0.335005319579574,0.138894215057302,0,1,1
"102","BATF3",50.1621973907177,-0.430819025096324,0.247741331858317,0,1,1
"103","USH2A",41.941643871657,0.00377049705331211,0.20703725832119,0,1,1
"104","ESRRG",198.863029213957,-0.261780753564527,0.276194738440966,0,1,1
"105","HHAT",114.776787528549,-0.181388277453153,0.167696906396737,0,1,1
"106","RNU5F-1",1.02847151774246,0.292734762438501,0.759161983996992,0,1,1
