"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1378","BTF3L4",256.239071634633,-0.3327581890546,0.176194137441141,0,1,1
"1379","ORC1",10.9862742402495,0.260555086930939,0.270065956883668,0,1,1
"1380","PRPF38A",496.20324775126,0.0834002798494205,0.114220642913239,0,1,1
"1381","GPX7",34.0731683590534,0.0922307885036649,0.189342413715607,0,1,1
"1382","COA7",170.527404699918,-0.352219824270633,0.175066115215136,0,1,1
"1383","FAM159A",9.01098845039202,0.507389456200149,0.404549479666637,0,1,1
"1384","ECHDC2",303.718111716722,0.269657135629412,0.197737498327683,0,1,1
"1385","MIR5095",4.69112630729901,0.638665154516234,0.368134362089116,0,1,1
"1386","MIR1273F",3.98744497389991,-0.247993504201152,0.418290932406662,0,1,1
"1387","MIR1273G",2.32717392877614,0.697651431437982,0.62944872153542,0,1,1
"1388","PODN",173.730391024187,0.108441899678645,0.234159739750081,0,1,1
"1389","SLC1A7",43.6676271132241,-0.253991990509971,0.340037991227952,0,1,1
"1390","C1orf123",259.813026945193,-0.0109265595622106,0.130252309360642,0,1,1
"1391","MAGOH",73.4542751489229,-0.391006384650698,0.152785805716007,0,1,1
"1392","CPT2",178.719409334627,-0.113771491848147,0.120768489777506,0,1,1
"1393","LOC100507564",7.8435749349979,-0.128668096540796,0.303796249848939,0,1,1
"1394","LINC01771",13.9837702833824,-0.559336690306279,0.340670642530052,0,1,1
"1395","SLC25A3P1",0.0907003730655765,-0.451979517090425,3.02618920828379,0,1,1
"1396","DMRTB1",0.356685356512834,-2.04114677591567,2.64771992355785,-0.39322390810756,0.6941541129593,1
"1397","YIPF1",171.761668634508,-0.129821763497436,0.132034582634683,0,1,1
"1398","DIO1",24.0541326832999,0.506300843764264,0.213960447155054,0,1,1
"1399","MIR4781",0.0392340507833161,-0.163443151330456,3.02618920828379,0,1,1
"1400","LDLRAD1",0.455487952766319,0.407577023409092,1.32024782586463,0,1,1
"1401","TMEM59",1291.73958537736,-0.21942066439259,0.16961688384854,0,1,1
"1402","LRRC42",131.595984111904,-0.0951547957146378,0.0965993829328238,0,1,1
"1403","CDCP2",7.65165795539932,-0.289815657700894,0.314233390981804,0,1,1
"1404","SSBP3-AS1",107.335815078951,0.698823166154128,0.188262839948233,0,1,1
"1405","MRPL37",328.351085996872,-0.204075222471677,0.125796163141482,0,1,1
"1406","FAM151A",60.4380618723392,0.880871722105096,0.387082213201714,0,1,1
"1407","MROH7",25.4782843666019,-0.324672795663179,0.29694302016407,0,1,1
"1408","TTC4",9.9117177901909,-0.0886704722623029,0.277615547759012,0,1,1
"1409","TTC22",16.347009269565,-0.586832981297192,0.466073968766572,0,1,1
"1410","LEXM",6.19317520618229,-0.786466130861063,0.375440161051584,0,1,1
"1411","PARS2",56.2788097619253,-0.0417901177535917,0.140533237404388,0,1,1
"1412","DHCR24",2696.85810548732,-0.236710570628273,0.196449564566824,0,1,1
"1413","TMEM61",6.18169690369737,-0.721555179448755,0.424421052469188,0,1,1
"1414","PCSK9",6.32811591203595,0.898892242428981,0.475324267936939,0,1,1
"1415","BSND",1.77836381371828,1.19950060734896,0.79670087927251,0.250408418691759,0.802271519794189,1
"1416","LOC100507634",13.9353466674842,-0.211035429651909,0.26428471799112,0,1,1
"1417","MIR4422",0,NA,NA,NA,NA,NA
"1418","LOC101929935",2.2471279518805,0.0252810662807652,0.53355482816382,0,1,1
"1419","C8A",0.132269436714791,0.317448789775689,3.02618920828379,0,1,1
"1420","TACSTD2",3.94255575933698,0.0784254581034415,0.488402133442392,0,1,1
"1421","MYSM1",812.14037694564,-0.335385309725732,0.104607569514605,0,1,1
"1422","LINC01135",32.2584693300622,0.0697808518346,0.296810257469499,0,1,1
"1423","JUN",2457.84863983795,-0.345752763660044,0.266863302721726,0,1,1
"1424","HSD52",1.44469403658587,-0.675647783400549,0.644341024271927,0,1,1
"1425","MIR4711",0.464531444965977,1.85248708223949,1.15901953004205,0.735524346348643,0.462020218148584,1
"1426","LOC101926944",3.09681771002364,0.350945271444036,0.612969586559029,0,1,1
"1427","CYP2J2",311.945838564612,0.557982853499877,0.231982919545837,0,1,1
"1428","C1orf87",8.12559469189786,0.476289588305995,0.432542674132469,0,1,1
"1429","NFIA-AS2",11.109310204768,-0.0247278748203085,0.330191542084591,0,1,1
"1430","NFIA-AS1",20.1492521741761,0.308269413336663,0.3100214770721,0,1,1
"1431","MGC34796",6.75413431966263,1.87962203616952,0.717141067431499,1.22656765330698,0.219985133038625,1
"1432","TM2D1",119.540065313262,-0.147928037893432,0.138127824040258,0,1,1
"1433","MIR3116-1",0,NA,NA,NA,NA,NA
"1434","MIR3116-2",0,NA,NA,NA,NA,NA
"1435","L1TD1",3.76096107479583,0.876897543577416,0.713230957989856,0,1,1
"1436","ANGPTL3",19.6585776145886,-0.11732338156257,0.203719026467142,0,1,1
"1437","FOXD3-AS1",0.2276971757538,0.269355300829896,1.69015142424725,0,1,1
"1438","FOXD3",0.272401393066718,-1.07836627225834,1.66107723646325,-0.0471779821781203,0.962371375654802,1
"1439","MIR6068",0.0490987932925498,-0.163443151330455,3.02618920828379,0,1,1
"1440","ALG6",66.7743232746447,-0.172025548954736,0.222522588385913,0,1,1
"1441","EFCAB7",170.578277201788,0.0458929096020756,0.180201300356719,0,1,1
"1442","DLEU2L",26.6140398494711,-0.0335795202386348,0.218797786194686,0,1,1
"1443","ROR1-AS1",8.14579114616659,1.0989879864395,0.401416121400972,0.246596938095111,0.80522017442961,1
"1444","UBE2U",0.736383889892798,1.41367334326928,1.10191210135128,0.375414103141245,0.707352517849535,1
"1445","MIR4794",0.146337550502164,-0.211536850797747,2.52631069725212,0,1,1
"1446","MIR101-1",2.82462862939889,0.33262928412277,0.523220823237933,0,1,1
"1447","MIR3671",2.08640024101146,-0.0606553648709011,0.526958389710854,0,1,1
"1448","LINC01359",34.3005538542129,-0.445197568319941,0.314859805729572,0,1,1
"1449","LEPROT",452.312493083585,-0.203005138819249,0.189357924788704,0,1,1
"1450","LOC101927139",30.6698296524989,0.823433532624459,0.334207927992228,0,1,1
"1451","MIR3117",7.4143037634716,-0.326512391238722,0.325967900307133,0,1,1
"1452","INSL5",1.41722002111446,1.60714586972332,0.806234065241473,0.753064024330797,0.451411441538913,1
"1453","MIER1",555.085579667607,0.152363506266543,0.106443267416992,0,1,1
"1454","C1orf141",2.28272570933446,0.376997684811921,0.579894946938593,0,1,1
"1455","IL12RB2",154.853338184574,-0.636246323881762,0.221769818556007,0,1,1
"1456","GADD45A",342.528812514478,-1.32369986085697,0.348100933886147,-0.929902305182686,0.352421669363813,1
"1457","DIRAS3",62.0745473469426,-0.281281159750957,0.237709611313938,0,1,1
"1458","MIR1262",0.680080841098867,0.424531987021028,1.06872627014646,0,1,1
"1459","RPE65",6.66629861757205,-0.692533899618495,0.672700974530743,0,1,1
"1460","DEPDC1-AS1",0.33694338241709,-1.05940713090571,1.2996939315701,-0.045708554500937,0.963542545431791,1
"1461","SRSF11",1603.22610385727,-0.050530138991304,0.114331595976815,0,1,1
"1462","HHLA3",73.5118440333105,0.0152084471974871,0.174505382264991,0,1,1
"1463","CTH",62.1050995367272,-0.355002606998496,0.171376609239372,0,1,1
"1464","LINC01788",0.381124912499247,0.173525385603293,1.33412913545524,0,1,1
"1465","ZRANB2-AS1",5.72053363883999,0.34455527073469,0.362067597943506,0,1,1
"1466","MIR186",2.61951120978946,-0.0563344120059893,0.570840212739517,0,1,1
"1467","ZRANB2",772.330604155594,-0.112177250566895,0.139075533565355,0,1,1
"1468","NEGR1-IT1",6.08644705255957,-0.241687555530701,0.346337013822504,0,1,1
"1469","FPGT",117.781253919741,-0.13852135547316,0.252510298029533,0,1,1
"1470","ERICH3-AS1",9.16786173537236,-0.0264257744689369,0.272853467871226,0,1,1
"1471","CRYZ",127.188829937447,-0.221022959627827,0.221634231192927,0,1,1
"1472","TYW3",231.191121220705,-0.0493861376073185,0.165154876346613,0,1,1
"1473","LHX8",0.0883235673777611,0.605985155535658,3.02618920828379,0,1,1
"1474","SNORD45A",2.66354613694986,-0.442269562130861,0.532273756694074,0,1,1
"1475","SNORD45B",2.58480805283914,-0.368369864176764,0.548068725319227,0,1,1
"1476","ACADM",397.195764171412,-0.112681556481572,0.0979183085757931,0,1,1
"1477","RABGGTB",311.577110326114,0.0829051142145791,0.166352977288499,0,1,1
"1478","SNORD45C",2.31548584292044,-0.145452750084096,0.621318348800904,0,1,1
"1479","DLSTP1",125.084907865478,-0.253591166866927,0.126042511372689,0,1,1
"1480","ASB17",2.02805307102985,-0.0645693441313632,0.858308131240477,0,1,1
"1481","LOC101927342",0.325904828368942,1.27737838437063,1.44748684717724,0.191627568092624,0.848033946476856,1
"1482","MIR7156",1.83103172541256,0.645706394699882,0.627823213805768,0,1,1
"1483","USP33",1167.01148666245,-0.186952512486962,0.12741889164301,0,1,1
"1484","NEXN-AS1",16.7683667941088,0.215989167397356,0.328758475280056,0,1,1
"1485","DNAJB4",574.42545454848,0.082877971480114,0.234398827846506,0,1,1
