"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"29","PUM1",2068.41789137777,0.04056631750131,0.0790472730661231,1,1
"30","KHDRBS1",1063.97308716407,-0.233704108038597,0.102311130491683,1,1
"31","EYA3",524.6321737776,0.156345120979375,0.0910044782210625,1,1
"32","SFPQ",2752.21467904377,0.0225532445771145,0.10467240134008,1,1
"33","THRAP3",1785.79964766682,-0.148109565179481,0.0894538284616868,1,1
"34","MACF1",23634.1407945458,0.111909014165416,0.100499104671491,1,1
"35","CSMD2",1351.54285982251,0.113568442783878,0.10433798939422,1,1
"36","RNF220",2227.28181501874,0.259979356242454,0.161680432993948,1,1
"37","TRABD2B",12.7852588231192,0.103318729736162,0.211165465021433,1,1
"38","PTPRF",4478.76474405714,-0.0751497691970045,0.091957495291156,1,1
"39","GPBP1L1",891.588340567189,0.193802718198385,0.0728070848990695,1,1
"40","TCEANC2",260.841219017547,0.117557552586262,0.152327842947524,1,1
"41","DAB1",237.411844846825,-0.084050296064373,0.127346332927053,1,1
"42","RAB3B",825.522888192103,-0.0855770312511108,0.202121594559778,1,1
"43","SCP2",600.744541142433,-0.197100075899232,0.101951199839516,1,1
"44","FAF1",736.668939277786,-0.0247507518265952,0.0885279084842061,1,1
"45","USP24",2206.52403500524,0.123021217182435,0.0775418316627046,1,1
"46","FGGY",303.8883125075,0.0561354947260255,0.141603283520462,1,1
"47","CACHD1",917.645245434262,-0.0658253400236189,0.142180014804138,1,1
"48","USP1",384.350476818289,0.133930973971449,0.118218421065474,1,1
"49","ITGB3BP",48.3228952312698,-0.109067601307085,0.162772374995843,1,1
"50","LEPR",172.361082763579,-0.0371365249442989,0.159840249348474,1,1
"51","NFIA",3085.31233603815,0.172118073391215,0.147783345530954,1,1
"52","NEGR1",1177.59040128608,-0.241691371081591,0.196101179385096,1,1
"53","LRRC7",2422.60202328887,-0.257298669932064,0.134382335989363,1,1
"54","ST6GALNAC3",173.035968033629,0.223244164487275,0.149893195342236,1,1
"55","PIGK",255.481297706843,-0.0849068545950391,0.15843348925837,1,1
"56","CLCA4",90.3866579943735,0.541890207883645,0.420986081517239,0.0622668419778001,1
"57","LRRC8C",393.156926486281,0.0249561269524375,0.110607327880856,1,1
"58","PKN2-AS1",17.0738683494624,-0.704850258624281,0.284649329520201,0.0874558070408684,1
"59","DDAH1",2472.39968066268,-0.280424361541192,0.147510715396995,1,1
"60","LOC729970",69.5285745358808,-0.150648471325295,0.129166598747072,1,1
"61","LOC102723661",0.279172014205086,0.00698653173697889,0.267527872131146,1,1
"62","FAM69A",357.833455718083,-0.0547755125842354,0.142204401188511,1,1
"63","GCLM",282.17339947394,-0.145046410061598,0.139014638723242,1,1
"64","NTNG1",191.290425512265,-0.229099021155991,0.140815186318505,1,1
"65","PHTF1",367.35387417099,0.0286055064426061,0.119443124213587,1,1
"66","GNAI3",440.455321015773,-0.00132726432468979,0.0966729667562991,1,1
"67","KCNA2",974.867925945995,-0.160558927309817,0.167876784561121,1,1
"68","RAP1A",577.370538923469,0.277351920746497,0.143892391507532,1,1
"69","RHOC",820.846092770158,-0.0532440618875102,0.127578160674215,1,1
"70","NOTCH2",3822.26393111935,0.148529230856461,0.151817300920869,1,1
"71","WDR3",221.496477120838,-0.226098725383323,0.118928833740422,1,1
"72","LOC101927429",0.216477598596953,-0.0317269451778591,0.266785984761477,0.671587988837204,1
"73","OTUD7B",1873.17523007075,0.240948904393149,0.172945473985702,1,1
"74","NBPF9",2.58752051859122,0.218136192811853,0.305227853798308,0.253091880773996,1
"75","PDZK1",12.1061378959472,0.0025988353770227,0.175918947263531,1,1
"76","NBPF20",0.218599362231988,-0.00617458684014476,0.26289817301695,1,1
"77","NBPF8",26.2924630164788,0.1617804658539,0.189484597863223,1,1
"78","NBPF25P",62.225544673894,0.119600724588126,0.182836727349818,1,1
"79","NBPF10",92.4029146192848,0.260121069463423,0.174990581065259,1,1
"80","TPM3",1596.59088942433,-0.281904878578897,0.10289619669647,1,1
"81","SMG5",2211.90058184972,0.373323306439134,0.0878912714884612,1,1
"82","GBAP1",113.536993719872,-0.117680362673936,0.152014107396606,1,1
"83","LOC440700",2.17799484794352,0.0347354196702833,0.231412679265519,1,1
"84","FCGR2A",178.146069747985,0.0372892032515577,0.191325677705374,1,1
